,UUID,gpsLongitude,gpsLatitude
0,AE93FD8053BFDDFD,-103.36126709,20.6793193817
1,3BC10C97D2490E7B,-103.33902,20.673815
2,3AB8A58A952B89B6,-103.355331421,20.6747665405
3,229B8913D6A5B970,-103.347511292,20.6770610809
4,FD368D7D6B815C1B,-103.333274841,20.6738071442
